name,m,e,a,i,Omega,omega,perihelion,period
Mercury,3.30E+23,0.20563,0.33871,7.005,48.331,29.124,2/25/2019,87.96
Venus,4.87E+24,0.006772,0.723332,3.394,76.68,54.884,12/26/2018,225
Earth,5.97E+24,0.0167086,1.000001,0,-11.261,114.207,1/2/2019,365.24
Mars,6.42E+23,0.0934,1.523676,1.85,49.558,286.502,9/18/2018,687
Ceres,9.393+20,0.07823,2.7675,10.593,80.3293,72.522,4/30/2018,1681.63
Jupiter,1.90E+27,0.048498,5.2026,1.303,100.464,273.867,3/16/2011,4333
Saturn,5.68E+26,0.05555,9.554909,2.485,114,339.392,7/11/2003,10775.69
Halley,2.20E+14,0.967,17.8,162.3,55.6,109.2,2/5/1986,27503
Uranus,8.68E+25,0.046381,19.2184,0.773,74,96.999,1/27/1967,30688
Neptune,1.02E+26,0.009456,30.110307,1.768,132,276.336,9/20/1882,60182
Pluto ,1.313+22,0.2488,39.48,17.16,110.299,113.834,9/4/1989,90560
